,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,Interval,Label MA
246,2019-04-11 06:00:00.000,2019-04-11 07:00:00.000,2019-04-11 06:00:00.000,2019-04-11 06:59:59.531,5209.59098043,5789.76,5019.38600505,5216.91,1923.2905269760001,5735,3,3.603960396039604
247,2019-04-11 07:00:00.000,2019-04-11 08:00:00.000,2019-04-11 07:00:00.000,2019-04-11 07:59:54.000,5220.0,5785.58,5106.5,5202.97,2269.78686187,5848,3,3.603960396039604
248,2019-04-11 08:00:00.000,2019-04-11 09:00:00.000,2019-04-11 08:00:01.647,2019-04-11 08:59:59.668,5202.6,5772.07,5033.09592691,5202.33,5132.096900399,12504,3,3.61
249,2019-04-11 09:00:00.000,2019-04-11 10:00:00.000,2019-04-11 09:00:00.000,2019-04-11 09:59:59.870,5201.86,5769.99,4987.04,5072.63,11555.115641673001,23513,4,3.6
250,2019-04-11 10:00:00.000,2019-04-11 11:00:00.000,2019-04-11 10:00:00.000,2019-04-11 10:59:59.837,5072.57,5662.87,5029.71,5112.21,5254.133080232,11256,4,3.607843137254902
251,2019-04-11 11:00:00.000,2019-04-11 12:00:00.000,2019-04-11 11:00:00.042,2019-04-11 11:59:59.000,5082.69,5646.66,4879.39521303,5056.2,8754.644504451,20381,4,3.588785046728972
252,2019-04-11 12:00:00.000,2019-04-11 13:00:00.000,2019-04-11 12:00:00.000,2019-04-11 12:59:59.313,5048.88,5628.87,4958.00002,5058.0,4196.993186994,8884,4,3.596330275229358
253,2019-04-11 13:00:00.000,2019-04-11 14:00:00.000,2019-04-11 13:00:00.000,2019-04-11 13:59:59.000,5254.04914376,5636.47,4893.99999,5045.9,4388.655854912,7578,4,3.5405405405405403
254,2019-04-11 14:00:00.000,2019-04-11 15:00:00.000,2019-04-11 14:00:02.000,2019-04-11 14:59:59.000,5045.2,5658.8094,4880.0,5120.0,4343.878446937,8864,4,3.537037037037037
255,2019-04-11 15:00:00.000,2019-04-11 16:00:00.000,2019-04-11 15:00:00.000,2019-04-11 15:59:59.159,5061.0240508,5635.43,4934.0,5039.99,6950.91555855,18451,4,3.542056074766355
256,2019-04-11 16:00:00.000,2019-04-11 17:00:00.000,2019-04-11 16:00:00.000,2019-04-11 16:59:59.872,5038.12,6095.8624,4970.0,5057.18,7990.4370725730005,18123,4,3.5238095238095237
257,2019-04-11 17:00:00.000,2019-04-11 18:00:00.000,2019-04-11 17:00:00.000,2019-04-11 17:59:58.000,5054.43,5622.64,4937.20003,5100.0,6399.643793136,14551,4,3.5495495495495497
258,2019-04-11 18:00:00.000,2019-04-11 19:00:00.000,2019-04-11 18:00:00.961,2019-04-11 18:59:59.580,5056.24,5655.85,4939.04809962,5083.68,7212.100466938001,15679,4,3.5486725663716814
259,2019-04-11 19:00:00.000,2019-04-11 20:00:00.000,2019-04-11 19:00:00.000,2019-04-11 19:59:59.930,5091.9,5650.56,4961.90755803,5075.0,4625.542184823,11338,4,3.5384615384615383
260,2019-04-11 20:00:00.000,2019-04-11 21:00:00.000,2019-04-11 20:00:00.000,2019-04-11 20:59:59.000,5070.01791908,5640.51,4976.19107198,5053.43,3191.385303262,7749,4,3.55
261,2019-04-11 21:00:00.000,2019-04-11 22:00:00.000,2019-04-11 21:00:00.000,2019-04-11 21:59:55.970,5068.4,5624.44,4956.7000100000005,5028.03,3945.028828768,9336,4,3.5392156862745097
262,2019-04-11 22:00:00.000,2019-04-11 23:00:00.000,2019-04-11 22:00:00.000,2019-04-11 22:59:58.784,5033.84184562,5624.24,4930.29002,5046.72,3912.951327546,9455,4,3.515151515151515
263,2019-04-11 23:00:00.000,2019-04-12 00:00:00.000,2019-04-11 23:00:00.000,2019-04-11 23:59:59.601,5053.14426164,5631.64,4967.59,5041.3,3083.212775202,6480,4,3.5104166666666665
264,2019-04-12 00:00:00.000,2019-04-12 01:00:00.000,2019-04-12 00:00:00.000,2019-04-12 00:59:59.125,5037.82,5613.23,4978.970020000001,5024.25,2887.013049042,6794,4,3.5051546391752577
265,2019-04-12 01:00:00.000,2019-04-12 02:00:00.000,2019-04-12 01:00:00.000,2019-04-12 01:59:59.971,5048.1,5593.45,4850.73,4961.94,9025.232679284,19531,4,3.521276595744681
266,2019-04-12 02:00:00.000,2019-04-12 03:00:00.000,2019-04-12 02:00:00.000,2019-04-12 02:59:59.681,4956.19405719,5578.07,4885.60001,5002.78,4500.480178224,9339,4,3.5161290322580645
267,2019-04-12 03:00:00.000,2019-04-12 04:00:00.000,2019-04-12 03:00:00.000,2019-04-12 03:59:59.319,5027.6,5597.28,4869.7871,5024.42,3244.695600836,7545,4,3.510869565217391
268,2019-04-12 04:00:00.000,2019-04-12 05:00:00.000,2019-04-12 04:00:00.000,2019-04-12 04:59:59.889,5023.3,5608.89,4901.52001,5032.28,2786.6570698009996,6650,4,3.5217391304347827
269,2019-04-12 05:00:00.000,2019-04-12 06:00:00.000,2019-04-12 05:00:00.000,2019-04-12 05:59:59.000,5062.9,5599.38,4915.00003,5020.41,2594.813023537,5408,4,3.522222222222222
270,2019-04-12 06:00:00.000,2019-04-12 07:00:00.000,2019-04-12 06:00:01.835,2019-04-12 06:59:59.291,5023.95,5604.67,4923.9944,5026.91,3447.249542977,6030,4,3.5434782608695654
271,2019-04-12 07:00:00.000,2019-04-12 08:00:00.000,2019-04-12 07:00:00.000,2019-04-12 07:59:59.539,5024.64,5615.87,4934.7634100000005,5030.2,3771.511557028,7063,4,3.536082474226804
272,2019-04-12 08:00:00.000,2019-04-12 09:00:00.000,2019-04-12 08:00:00.000,2019-04-12 08:59:58.000,5053.3,5610.37,4936.02,5026.46147694,3236.78862156,7283,4,3.5051546391752577
273,2019-04-12 09:00:00.000,2019-04-12 10:00:00.000,2019-04-12 09:00:02.000,2019-04-12 09:59:58.127,5021.07,5598.48,4900.0,5032.63,2365.328222465,5260,5,3.494949494949495
274,2019-04-12 10:00:00.000,2019-04-12 11:00:00.000,2019-04-12 10:00:00.000,2019-04-12 10:59:59.723,5031.98,5651.94,4915.0,5071.8,3431.218957757,8641,5,3.4946236559139785
275,2019-04-12 11:00:00.000,2019-04-12 12:00:00.000,2019-04-12 11:00:01.180,2019-04-12 11:59:59.000,5077.0,5668.43,4958.434936399999,5133.99999999,2981.406135665,7489,5,3.489130434782609
276,2019-04-12 12:00:00.000,2019-04-12 13:00:00.000,2019-04-12 12:00:01.000,2019-04-12 12:59:59.918,5031.82880608,5680.0,4963.28742772,5088.24,3138.171095718,5908,5,3.4680851063829787
277,2019-04-12 13:00:00.000,2019-04-12 14:00:00.000,2019-04-12 13:00:02.000,2019-04-12 13:59:59.113,5003.87508938,5663.82,4939.0,5069.11,2398.5101713960003,7013,5,3.5434782608695654
278,2019-04-12 14:00:00.000,2019-04-12 15:00:00.000,2019-04-12 14:00:00.000,2019-04-12 14:59:59.149,5067.0,6181.4776,5017.41,5084.31,2474.621979821,6621,5,3.5729166666666665
279,2019-04-12 15:00:00.000,2019-04-12 16:00:00.000,2019-04-12 15:00:01.000,2019-04-12 15:59:59.670,5079.71,5651.73,5000.10041,5076.22,3587.6363136709997,7468,5,3.6021505376344085
280,2019-04-12 16:00:00.000,2019-04-12 17:00:00.000,2019-04-12 16:00:01.000,2019-04-12 16:59:59.000,5070.22470664,5653.37,5010.093,5111.3,3016.583603502,6860,5,3.6344086021505375
281,2019-04-12 17:00:00.000,2019-04-12 18:00:00.000,2019-04-12 17:00:00.498,2019-04-12 17:59:59.398,5083.05,5673.63,5040.08113053,5055.07,4544.699040815,9166,5,3.6179775280898876
282,2019-04-12 18:00:00.000,2019-04-12 19:00:00.000,2019-04-12 18:00:01.000,2019-04-12 18:59:56.370,5097.2,5649.37,5002.86,5063.84,2828.729164345,6492,5,3.630434782608696
283,2019-04-12 19:00:00.000,2019-04-12 20:00:00.000,2019-04-12 19:00:00.000,2019-04-12 19:59:59.568,5084.96722843,5642.03,5002.86,5055.0,2487.4608639479998,5920,5,3.6288659793814433
284,2019-04-12 20:00:00.000,2019-04-12 21:00:00.000,2019-04-12 20:00:00.000,2019-04-12 20:59:59.680,5063.239057899999,5627.23,4997.86564267,5043.09,3322.99096576,8723,5,3.610526315789474
285,2019-04-12 21:00:00.000,2019-04-12 22:00:00.000,2019-04-12 21:00:00.470,2019-04-12 21:59:58.000,5041.89,5658.8094,5001.35325,5065.68208642,5265.571046482,6332,5,3.62
286,2019-04-12 22:00:00.000,2019-04-12 23:00:00.000,2019-04-12 22:00:02.000,2019-04-12 22:59:59.330,5097.85722576,5656.85,5026.98,5081.5,3007.510807307,5235,5,3.63
287,2019-04-12 23:00:00.000,2019-04-13 00:00:00.000,2019-04-12 23:00:00.000,2019-04-12 23:59:59.000,5124.1,5658.2,5014.68,5108.81382911,2609.612724397,5744,5,3.633663366336634
288,2019-04-13 00:00:00.000,2019-04-13 01:00:00.000,2019-04-13 00:00:01.665,2019-04-13 00:59:59.225,5078.19,5642.83,4400.0,5091.55,2464.2916488829997,5766,5,3.633663366336634
289,2019-04-13 01:00:00.000,2019-04-13 02:00:00.000,2019-04-13 01:00:01.393,2019-04-13 01:59:59.771,5091.33,5873.8062,4800.0,5077.28,2391.134328899,5234,5,3.627450980392157
290,2019-04-13 02:00:00.000,2019-04-13 03:00:00.000,2019-04-13 02:00:00.020,2019-04-13 02:59:59.771,5077.0,5673.23,5051.98725546,5074.59,2660.40368643,5925,5,3.5865384615384617
291,2019-04-13 03:00:00.000,2019-04-13 04:00:00.000,2019-04-13 03:00:00.000,2019-04-13 03:59:56.380,5142.4,5687.32,5046.5312392999995,5110.4,2625.494079535,6383,5,3.5865384615384617
292,2019-04-13 04:00:00.000,2019-04-13 05:00:00.000,2019-04-13 04:00:00.000,2019-04-13 04:59:59.155,5138.6,5683.82,5020.1,5114.87,2593.3654459570002,5435,5,3.5794392523364484
293,2019-04-13 05:00:00.000,2019-04-13 06:00:00.000,2019-04-13 05:00:01.114,2019-04-13 05:59:59.000,5114.87,5683.26,5044.28649924,5115.03593673,2596.151739902,5615,5,3.5871559633027523
