time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-05-01T10:00:00.0000000Z,2019-05-01T11:00:00.0000000Z,2019-05-01T10:00:02.0000000Z,2019-05-01T10:59:59.1830000Z,5287.56928951,5873.11,5200,5304.82,2345.797177992,4420
2019-05-01T11:00:00.0000000Z,2019-05-01T12:00:00.0000000Z,2019-05-01T11:00:01.0000000Z,2019-05-01T11:59:58.8510000Z,5306.81,5884.83,5200,5316.5,2369.236181396,4821
2019-05-01T12:00:00.0000000Z,2019-05-01T13:00:00.0000000Z,2019-05-01T12:00:00.0000000Z,2019-05-01T12:59:59.0000000Z,5625.37219937,5878.36,5158.23,5290.43,3475.068232435,6571
2019-05-01T13:00:00.0000000Z,2019-05-01T14:00:00.0000000Z,2019-05-01T13:00:00.7500000Z,2019-05-01T13:59:59.1370000Z,5301.14,5857.5,5234,5288.98,2613.322008171,5331
2019-05-01T14:00:00.0000000Z,2019-05-01T15:00:00.0000000Z,2019-05-01T14:00:00.0000000Z,2019-05-01T14:59:59.5910000Z,5304.42465029,5864,5200,5297.35,2792.510715639,6312
2019-05-01T15:00:00.0000000Z,2019-05-01T16:00:00.0000000Z,2019-05-01T15:00:01.0000000Z,2019-05-01T15:59:59.0000000Z,5601,5863.85,5200,5335,2564.914117154,6360
2019-05-01T16:00:00.0000000Z,2019-05-01T17:00:00.0000000Z,2019-05-01T16:00:00.0000000Z,2019-05-01T16:59:59.6190000Z,5296.97,5870.89,5164,5289.55,2755.241678977,5897
2019-05-01T17:00:00.0000000Z,2019-05-01T18:00:00.0000000Z,2019-05-01T17:00:00.9040000Z,2019-05-01T17:59:59.9390000Z,5289.55,5916.02,5161,5352.82,4945.605147597,9079
2019-05-01T18:00:00.0000000Z,2019-05-01T19:00:00.0000000Z,2019-05-01T18:00:00.0000000Z,2019-05-01T18:59:58.0000000Z,5318.31641852,5918.4,5158,5307.25,4657.914087547,8819
2019-05-01T19:00:00.0000000Z,2019-05-01T20:00:00.0000000Z,2019-05-01T19:00:00.0000000Z,2019-05-01T19:59:57.8540000Z,5330.16417,5875.68,5163,5304.03,3605.681900231,6966
2019-05-01T20:00:00.0000000Z,2019-05-01T21:00:00.0000000Z,2019-05-01T20:00:00.0670000Z,2019-05-01T20:59:58.4090000Z,5299.11,5877.49,5161,5308,2396.839130697,4836
2019-05-01T21:00:00.0000000Z,2019-05-01T22:00:00.0000000Z,2019-05-01T21:00:00.0000000Z,2019-05-01T21:59:59.0000000Z,5615,5878.12,5160,5616,2569.056988075,5450
2019-05-01T22:00:00.0000000Z,2019-05-01T23:00:00.0000000Z,2019-05-01T22:00:00.0000000Z,2019-05-01T22:59:59.2730000Z,5315.09321487,5870.22,5160,5299.52,2198.251287332,4800
2019-05-01T23:00:00.0000000Z,2019-05-02T00:00:00.0000000Z,2019-05-01T23:00:00.0000000Z,2019-05-01T23:59:58.0000000Z,5325.44728908,5898.25,5151,5329.94359674,2620.426929911,5581
2019-05-02T00:00:00.0000000Z,2019-05-02T01:00:00.0000000Z,2019-05-02T00:00:01.0000000Z,2019-05-02T00:59:58.6090000Z,5325.815,5899.09,5200,5322.9,2989.472542708,5837
2019-05-02T01:00:00.0000000Z,2019-05-02T02:00:00.0000000Z,2019-05-02T01:00:02.2460000Z,2019-05-02T01:59:59.0100000Z,5322.9,5892.09,5269.57001,5318.5,3041.478831386,5931
2019-05-02T02:00:00.0000000Z,2019-05-02T03:00:00.0000000Z,2019-05-02T02:00:01.0530000Z,2019-05-02T02:59:59.3000000Z,5318.5,5896.5,5280.53937,5317.757,3116.013323909,5537
2019-05-02T03:00:00.0000000Z,2019-05-02T04:00:00.0000000Z,2019-05-02T03:00:00.3910000Z,2019-05-02T03:59:59.5570000Z,5324.54,5898.65,5194,5624.337,2785.584403646,5568
2019-05-02T04:00:00.0000000Z,2019-05-02T05:00:00.0000000Z,2019-05-02T04:00:00.0000000Z,2019-05-02T04:59:59.1000000Z,5897.53,5897.53,5153,5319.99,2851.558679082,4892
2019-05-02T05:00:00.0000000Z,2019-05-02T06:00:00.0000000Z,2019-05-02T05:00:00.0000000Z,2019-05-02T05:59:59.4180000Z,5325,5897.6,5154,5313.28,2057.61672031,3940
2019-05-02T06:00:00.0000000Z,2019-05-02T07:00:00.0000000Z,2019-05-02T06:00:00.0000000Z,2019-05-02T06:59:59.0000000Z,5456.96339842,5895.34,5231,5369.54619325,2244.537138716,4040
2019-05-02T07:00:00.0000000Z,2019-05-02T08:00:00.0000000Z,2019-05-02T07:00:01.1530000Z,2019-05-02T07:59:59.0000000Z,5312.34,5917.22,5242,5338,5159.901038263,9038
2019-05-02T08:00:00.0000000Z,2019-05-02T09:00:00.0000000Z,2019-05-02T08:00:00.0000000Z,2019-05-02T08:59:59.8920000Z,5340.379,5935.79,4003.0001,5375,3277.312888329,6200
2019-05-02T09:00:00.0000000Z,2019-05-02T10:00:00.0000000Z,2019-05-02T09:00:00.0000000Z,2019-05-02T09:59:58.2300000Z,5935.05,5944.11,5296,5350.18,3759.75643113,7560
2019-05-02T10:00:00.0000000Z,2019-05-02T11:00:00.0000000Z,2019-05-02T10:00:02.6720000Z,2019-05-02T10:59:58.0000000Z,5319.95,5935.13,5211,5355.85,2332.162086115,4891
2019-05-02T11:00:00.0000000Z,2019-05-02T12:00:00.0000000Z,2019-05-02T11:00:00.4670000Z,2019-05-02T11:59:59.0000000Z,5357.78,5940.56,5216,5388.94335167,2432.964584065,5088
2019-05-02T12:00:00.0000000Z,2019-05-02T13:00:00.0000000Z,2019-05-02T12:00:00.0000000Z,2019-05-02T12:59:59.5790000Z,5716.4,5945.89,5313.07152,5365.86,4682.045804255,7992
2019-05-02T13:00:00.0000000Z,2019-05-02T14:00:00.0000000Z,2019-05-02T13:00:00.0000000Z,2019-05-02T13:59:59.0000000Z,5744.4,5937.88,5225,5374,3390.89787095,8551
2019-05-02T14:00:00.0000000Z,2019-05-02T15:00:00.0000000Z,2019-05-02T14:00:00.0000000Z,2019-05-02T14:59:59.0000000Z,5727.81659899,5956.77,5302,5377.89,3460.161499113,7792
2019-05-02T15:00:00.0000000Z,2019-05-02T16:00:00.0000000Z,2019-05-02T15:00:00.1810000Z,2019-05-02T15:59:59.6350000Z,5369.2,5982.61,5318,5409.01,5371.522228997,10576
2019-05-02T16:00:00.0000000Z,2019-05-02T17:00:00.0000000Z,2019-05-02T16:00:00.0000000Z,2019-05-02T16:59:58.0000000Z,5494.99999,7003,5266,5377.1,8150.074844494,9285
2019-05-02T17:00:00.0000000Z,2019-05-02T18:00:00.0000000Z,2019-05-02T17:00:01.2700000Z,2019-05-02T17:59:59.0000000Z,5374.157,5965.94,5269,5395.04066517,3558.388252757,7646
2019-05-02T18:00:00.0000000Z,2019-05-02T19:00:00.0000000Z,2019-05-02T18:00:00.0000000Z,2019-05-02T18:59:59.6220000Z,5399,5969.24,5265,5387.89,3192.746824206,6574
2019-05-02T19:00:00.0000000Z,2019-05-02T20:00:00.0000000Z,2019-05-02T19:00:01.0000000Z,2019-05-02T19:59:58.4980000Z,5386.04,5982.47,5286,5400.42,2718.960397122,6266
2019-05-02T20:00:00.0000000Z,2019-05-02T21:00:00.0000000Z,2019-05-02T20:00:00.0000000Z,2019-05-02T20:59:59.6330000Z,5746.8,5972.3,5283,5553.285,2567.794938687,6199
2019-05-02T21:00:00.0000000Z,2019-05-02T22:00:00.0000000Z,2019-05-02T21:00:00.0000000Z,2019-05-02T21:59:59.2510000Z,5757.1,5980.61,5356.77,5404.04,2653.806574317,6683
2019-05-02T22:00:00.0000000Z,2019-05-02T23:00:00.0000000Z,2019-05-02T22:00:00.0000000Z,2019-05-02T22:59:57.9640000Z,5743.1,5979.08,5283,5398.44,3309.311976976,6844
2019-05-02T23:00:00.0000000Z,2019-05-03T00:00:00.0000000Z,2019-05-02T23:00:00.9500000Z,2019-05-02T23:59:59.2110000Z,5411.99,5964.9,5320,5391.01,3018.885050056,6111
2019-05-03T00:00:00.0000000Z,2019-05-03T01:00:00.0000000Z,2019-05-03T00:00:00.0000000Z,2019-05-03T00:59:59.6730000Z,5736.6,5974.2,5344.8519,5409,4527.412554206,9399
2019-05-03T01:00:00.0000000Z,2019-05-03T02:00:00.0000000Z,2019-05-03T01:00:00.0000000Z,2019-05-03T01:59:58.0000000Z,5805.00233973,6003.64,5309,5806.9,4541.043065246,9499
2019-05-03T02:00:00.0000000Z,2019-05-03T03:00:00.0000000Z,2019-05-03T02:00:00.0000000Z,2019-05-03T02:59:59.3000000Z,5806.8,6039.68,5315,5467.52,6842.145907933,11947
2019-05-03T03:00:00.0000000Z,2019-05-03T04:00:00.0000000Z,2019-05-03T03:00:00.0000000Z,2019-05-03T03:59:57.0000000Z,5794.0326867,6039.99,5315,5672.8390279,2874.886179251,6992
2019-05-03T04:00:00.0000000Z,2019-05-03T05:00:00.0000000Z,2019-05-03T04:00:00.0000000Z,2019-05-03T04:59:59.0000000Z,5832.1,6059.01,5380,5841.8,3456.80195582,7297
2019-05-03T05:00:00.0000000Z,2019-05-03T06:00:00.0000000Z,2019-05-03T05:00:02.2240000Z,2019-05-03T05:59:58.0000000Z,5423.27,6060.54,5370,5688,2900.364585626,5755
