"time_period_start","time_period_end","time_open","time_close","price_open","price_high","price_low","price_close","volume_traded","trades_count"
"2019-04-18T11:00:00.0000000Z","2019-04-18T12:00:00.0000000Z","2019-04-18T11:00:00.7890000Z","2019-04-18T11:59:59.0000000Z","5242.19","5809.02","5146.6","5804.09","2888.657589923","5067"
"2019-04-18T12:00:00.0000000Z","2019-04-18T13:00:00.0000000Z","2019-04-18T12:00:00.6300000Z","2019-04-18T12:59:59.3810000Z","5238.36","5820.52","5187.37","5252.14","3391.064242342","5003"
"2019-04-18T13:00:00.0000000Z","2019-04-18T14:00:00.0000000Z","2019-04-18T13:00:00.3770000Z","2019-04-18T13:59:59.0000000Z","5252.14","5832.32","5196.0","5297.9","3192.870639509","5784"
"2019-04-18T14:00:00.0000000Z","2019-04-18T15:00:00.0000000Z","2019-04-18T14:00:00.0000000Z","2019-04-18T14:59:58.6390000Z","5297.9","5829.9","5175.983436853002","5250.44","3822.549051951","7373"
"2019-04-18T15:00:00.0000000Z","2019-04-18T16:00:00.0000000Z","2019-04-18T15:00:01.0000000Z","2019-04-18T15:59:59.7560000Z","5249.62","5851.53","5151.983513652756","5253.23","3848.404527709","7952"
"2019-04-18T16:00:00.0000000Z","2019-04-18T17:00:00.0000000Z","2019-04-18T16:00:00.9820000Z","2019-04-18T16:59:59.0000000Z","5253.23","5828.26","5165.0","5504.88","3044.628193861","6878"
"2019-04-18T17:00:00.0000000Z","2019-04-18T18:00:00.0000000Z","2019-04-18T17:00:01.0000000Z","2019-04-18T17:59:59.9790000Z","5274.9","5863.07","5182.0","5264.61","5141.575320375","8958"
"2019-04-18T18:00:00.0000000Z","2019-04-18T19:00:00.0000000Z","2019-04-18T18:00:00.0000000Z","2019-04-18T18:59:59.0000000Z","5274.9","5858.9","5182.0","5250.97728582","2901.070011228","6520"
"2019-04-18T19:00:00.0000000Z","2019-04-18T20:00:00.0000000Z","2019-04-18T19:00:00.2890000Z","2019-04-18T19:59:59.9030000Z","5271.99","5879.02","5145.0","5297.45","3975.980853057","7974"
"2019-04-18T20:00:00.0000000Z","2019-04-18T21:00:00.0000000Z","2019-04-18T20:00:00.0000000Z","2019-04-18T20:59:59.2560000Z","5220.08931067","5878.3","5192.48729393","5309.18","3371.496015052","7136"
"2019-04-18T21:00:00.0000000Z","2019-04-18T22:00:00.0000000Z","2019-04-18T21:00:00.0000000Z","2019-04-18T21:59:59.3140000Z","5333.8","5878.73","5160.0","5296.81","2671.176163914","5994"
"2019-04-18T22:00:00.0000000Z","2019-04-18T23:00:00.0000000Z","2019-04-18T22:00:00.3150000Z","2019-04-18T22:59:59.6420000Z","5296.81","6223.4486","3960.0","5284.76","3017.969485198","5834"
"2019-04-18T23:00:00.0000000Z","2019-04-19T00:00:00.0000000Z","2019-04-18T23:00:00.0000000Z","2019-04-18T23:59:57.9500000Z","5280.0","5856.0","5042.96","5280.49","2702.085431248","6516"
"2019-04-19T00:00:00.0000000Z","2019-04-19T01:00:00.0000000Z","2019-04-19T00:00:00.0000000Z","2019-04-19T00:59:58.0000000Z","5310.8","5848.54","5157.0","5274.0","2380.346385535","5861"
"2019-04-19T01:00:00.0000000Z","2019-04-19T02:00:00.0000000Z","2019-04-19T01:00:00.0000000Z","2019-04-19T01:59:58.0000000Z","5302.6","5841.9","5180.37","5245.9","5129.453595002","11067"
